ID,Water,Developed,Forest,Farm,Wetlands,OtherUndeveloped
1,0,0,187,0,0,99
2,0,0,313,0,0,35
3,0,0,433,0,0,0
4,0,2,277,0,0,1
5,0,0,406,0,0,1
6,0,0,332,0,8,2
7,38,0,196,4,1,116
8,0,0,181,66,6,11
9,0,1,241,6,0,0
10,0,0,282,6,0,0
11,0,77,141,0,0,7
12,0,97,112,0,0,0
13,0,89,80,1,0,0
14,0,40,244,0,0,0
15,0,5,370,0,0,0
16,0,4,352,0,0,4
17,0,0,458,0,0,0
18,0,2,247,168,1,1
19,39,0,181,103,0,1
20,0,0,526,50,0,0
21,0,0,318,139,0,0
22,0,4,474,0,0,10
23,0,0,509,0,0,84
24,0,0,58,0,0,506
25,0,0,231,0,0,243
26,0,0,414,0,0,13
27,0,0,343,3,1,21
28,0,0,454,0,0,10
29,0,0,544,0,0,8
30,0,0,386,11,0,73
31,0,0,484,0,0,18
32,0,0,360,38,0,1
33,42,0,170,56,6,0
34,0,3,162,5,2,67
35,0,80,97,2,0,23
36,3,158,27,0,2,0
37,0,192,1,0,0,0
38,2,165,9,6,0,0
39,0,105,40,0,2,0
40,0,2,362,0,0,0
41,6,5,179,111,0,2
42,0,23,29,165,0,0
43,12,0,126,163,2,2
44,0,1,385,158,0,0
45,0,0,555,11,0,0
46,2,0,274,38,0,0
47,0,0,331,0,0,140
48,0,0,545,0,0,24
49,0,0,537,0,0,0
50,0,0,495,5,0,12
51,0,0,363,0,0,123
52,0,0,309,0,0,162
53,0,3,201,3,0,151
54,1,1,217,34,0,84
55,0,0,134,206,0,76
56,0,0,159,0,0,212
57,0,0,561,0,0,30
58,4,0,542,7,0,0
59,5,0,255,25,50,2
60,0,2,116,17,11,40
61,0,33,110,0,1,34
62,0,144,44,0,0,3
63,0,141,21,7,0,0
64,0,120,21,4,0,1
65,0,21,164,1,4,0
66,0,3,155,0,55,0
67,0,2,109,46,57,0
68,0,12,33,107,72,0
69,40,0,60,35,204,9
70,0,0,71,302,6,10
71,8,0,199,76,6,0
72,0,0,521,4,14,0
73,0,0,394,0,0,66
74,0,0,274,0,0,164
75,1,27,138,57,0,0
76,5,4,130,141,1,6
77,1,0,242,32,0,14
78,16,1,177,13,0,16
79,0,1,359,0,0,0
80,58,1,332,0,0,0
81,0,0,359,0,5,2
82,0,1,410,0,0,2
83,0,0,339,0,11,25
84,0,0,441,0,2,0
85,0,0,369,0,0,0
86,0,0,418,4,0,19
87,0,0,363,0,0,133
88,0,0,449,0,0,9
89,0,0,572,1,0,0
90,0,0,555,6,0,0
91,0,0,656,0,0,0
92,0,0,635,0,0,0
93,0,0,579,0,0,0
94,0,1,238,71,0,148
95,0,1,15,202,0,234
96,0,1,87,15,0,296
97,0,0,597,0,0,49
98,0,0,418,4,0,15
99,19,0,88,0,1,280
100,3,5,89,83,0,7
101,0,12,170,106,5,2
102,0,40,142,4,0,5
103,0,40,83,40,16,6
104,0,4,143,13,66,35
105,0,2,256,4,81,0
106,0,3,82,31,256,0
107,7,0,157,18,113,83
108,3,11,188,5,116,0
109,0,0,91,180,118,6
110,5,0,124,102,157,6
111,6,0,41,165,143,0
112,0,0,161,35,238,7
113,0,0,302,0,153,2
114,1,0,405,0,1,22
115,0,0,284,0,0,194
116,0,0,290,0,0,182
117,15,9,254,2,6,0
118,0,9,95,143,0,4
119,1,34,58,175,0,4
120,0,0,304,7,1,4
121,12,0,330,0,0,1
122,0,0,251,50,0,0
123,0,0,238,37,14,1
124,0,0,379,0,2,2
125,0,0,545,1,0,2
126,0,0,433,0,0,53
127,0,0,317,9,58,5
128,10,1,281,22,16,3
129,0,0,164,0,0,61
130,0,0,448,0,0,23
131,0,0,340,0,0,202
132,0,0,372,0,0,30
133,0,0,534,0,0,4
134,0,0,492,0,0,6
135,0,0,556,2,0,0
136,0,0,450,0,0,0
137,0,0,537,0,0,0
138,0,0,529,0,0,0
139,0,0,510,0,0,5
140,0,3,279,3,0,94
141,0,0,217,0,0,220
142,1,2,143,95,0,54
143,1,1,125,114,0,48
144,0,10,96,40,0,0
145,3,8,65,236,0,2
146,7,0,377,9,0,16
147,0,0,182,25,13,29
148,0,0,233,0,115,0
149,0,0,152,0,205,0
150,0,22,152,62,15,8
151,0,0,279,65,3,0
152,2,1,254,43,0,0
153,0,1,230,58,0,1
154,6,4,137,66,0,21
155,0,0,118,237,1,13
156,0,0,344,12,0,1
